,期数,红球号码_1,红球号码_2,红球号码_3,红球号码_4,红球号码_5,红球号码_6,蓝球,奖池奖金(元),一等奖_注数,一等奖_奖金(元),二等奖_注数,二等奖_奖金(元),总投注额(元),开奖日期
106,2021097,03,11,12,13,25,28,12,6亿3741万2452元,45,"5,323,421",359,"50,675","355,020,594",2021-08-26
107,2021096,01,07,11,14,15,26,11,8亿2238万8985元,13,"5,640,531",91,"114,380","349,161,898",2021-08-24
108,2021095,08,12,17,24,27,28,13,8亿6448万9999元,4,"10,000,000",140,"201,541","384,516,464",2021-08-22
109,2021094,09,11,24,25,28,33,15,8亿1984万2497元,1,"10,000,000",101,"273,512","353,340,702",2021-08-19
110,2021093,05,11,15,23,28,33,03,7亿4696万8208元,5,"8,646,623",229,"99,525","346,398,722",2021-08-17
111,2021092,02,07,08,10,12,31,03,0元,4,"9,066,769",154,"132,037","382,276,564",2021-08-15
112,2021091,04,06,16,24,26,33,16,6亿9709万2670元,4,"10,000,000",102,"258,058","352,636,492",2021-08-12
113,2021090,05,06,12,14,27,28,08,6亿5812万6685元,19,"5,534,608",199,"63,803","340,567,382",2021-08-10
114,2021089,01,02,07,13,23,24,12,7亿2519万3394元,51,"5,338,932",659,"32,787","378,094,626",2021-08-08
115,2021088,04,12,15,16,19,26,06,9亿3265万8139元,7,"7,133,062",165,"113,116","339,080,722",2021-08-05
116,2021087,02,13,16,19,23,24,04,9亿2659万6691元,10,"6,520,555",219,"86,789","335,386,836",2021-08-03
117,2021086,06,08,10,14,28,29,01,9亿3478万1421元,1,"10,000,000",123,"214,082","363,965,626",2021-08-01
118,2021085,05,06,07,11,14,20,02,8亿6578万5162元,4,"9,473,926",189,"118,357","343,883,552",2021-07-29
119,2021084,05,07,09,11,21,28,01,8亿3657万1971元,21,"5,814,345",182,"117,453","338,765,612",2021-07-27
120,2021083,04,09,11,25,28,33,04,8亿9454万3509元,25,"5,173,874",276,"19,686","367,542,044",2021-07-25
121,2021082,03,06,11,13,26,32,05,10亿0758万9655元,7,"7,348,639",161,"127,643","344,368,726",2021-07-22
122,2021081,01,03,05,18,22,23,01,0元,4,"10,000,000",135,"207,725","344,437,194",2021-07-20
123,2021080,05,08,22,23,24,29,09,9亿5324万9373元,12,"6,122,048",119,"141,434","376,533,622",2021-07-18
124,2021079,01,03,10,24,28,29,13,9亿7622万1781元,8,"7,301,888",95,"242,304","345,574,370",2021-07-15
125,2021078,04,06,15,26,27,31,12,9亿6558万0237元,6,"7,800,858",132,"159,139","341,551,308",2021-07-13
126,2021077,08,15,17,25,27,30,10,9亿4936万6069元,13,"6,434,628",112,"208,149","377,616,968",2021-07-11
127,2021076,03,09,21,23,30,32,06,9亿6307万8086元,4,"7,982,765",87,"171,423","347,734,992",2021-07-08
128,2021075,12,15,16,21,22,29,01,9亿5026万7665元,2,"10,000,000",55,"435,092","347,517,338",2021-07-06
129,2021074,04,05,09,14,25,27,07,8亿9847万7373元,14,"5,822,076",163,"88,259","382,266,836",2021-07-04
130,2021073,01,06,18,22,24,25,08,9亿3682万7442元,4,"9,536,636",83,"273,291","353,932,932",2021-07-01
